Year,Month,Event,Category,Impact,Description
2003,12,Crisis Existencial,Crisis,Critical,"Deuda de $800M, margen operativo 2.4%, al borde de la quiebra"
2004,01,Jørgen Vig Knudstorp asume como CEO,Leadership,High,"Primer CEO externo a la familia LEGO, enfoque en intangibles"
2004,06,Auditoría de Intangibles,Strategy,High,"Identificación de marca, comunidad y sistema de juego como activos críticos"
2005,03,Reducción de Complejidad,Operations,High,"Reducción de 13,000 SKUs a 6,000 productos core"
2005,09,Valoración de Marca,Financial,Medium,"Cuantificación del valor de marca: $2.1B mediante Relief from Royalty"
2006,01,Lanzamiento LEGO Ideas,Innovation,High,"Plataforma de co-creación con fans, democratización de la innovación"
2007,06,Expansión Digital,Digital,Medium,"Lanzamiento de videojuegos LEGO Star Wars, LEGO Batman"
2008,03,Optimización Supply Chain,Operations,High,"Reducción tiempo desarrollo de 18 a 12 meses"
2009,09,LEGO Movie Anunciado,Brand,High,"Alianza con Warner Bros para película, expansión transmedia"
2010,12,Líder en Innovación,Market,Medium,"Reconocido como una de las empresas más innovadoras del mundo"
2011,06,Comunidad 1M Fans,Community,Medium,"Alcance de 1 millón de fans activos en plataformas digitales"
2012,03,Margen Operativo 26%,Financial,High,"Recuperación completa, margen operativo alcanza 26.1%"
2013,12,#1 Juguetes Mundial,Market,Critical,"LEGO supera a Mattel como fabricante #1 de juguetes del mundo"
2014,02,The LEGO Movie Estreno,Brand,Critical,"Éxito de taquilla: $469M, impulso masivo a ventas y marca"
2014,12,Ingresos $5.1B,Financial,Critical,"Crecimiento del 900% desde 2003, consolidación como líder"

